Speaker Name,Speaker Title,Speaker Description
Rekha Parameswaran,Healing Historian,"Rekha Parameswaran is a healer, educator and writer. She is currently the chair of the Hemostasis Study group of the Multinational Association of Supportive Care in Cancer, the largest multidisciplinary organization of its kind. Rekha has special expertise in taking care of people with genetic bleeding and clotting disorders by working closely with the highly skilled surgeons at Memorial Sloan Kettering to ensure that people can safely undergo extensive cancer operations."
Rajeswari Kannan,Scientist with a view,"Rajeswari Kannan heads Media Technologies Lab at Nokia Research Center, Bangalore, which focuses on computational imaging research by exploiting novel camera optics, sensors and signal processing techniques to capture and visualize information in new ways. She firmly believes that research cannot exist in silos, there needs to be a constant flow to core businesses. She pushes hard for building a strong ecosystem for the future of imaging by spending quality time collaborating with vendors, technology as well as design schools."
Mahesh Kale,Hindustani Classical Musician,"Mahesh  Kale, based in San Francisco Bay area, is an accomplished vocalist of the new generation in the North Indian Classical style. Honed in the Gurukul system of learning from the legendary Padmashree Pandit Jitendra Abhisheki, he has an illustrious pedigree, and his thrilling performances bear this out."
Prakriti Singh,Student and Social Entrepreneur,"Prakriti Singh is a 17 year old Delhi girl who has recently become Google’s top hit for “Water Wonder Girl”.
Traumatized by the death of her grandfather from water-borne hepatitis in 2011, Prakriti formed her own NGO, “Praanaadhar” (essence of life), at   age  16.  She worked with different NGOs in the slum areas of Delhi, conducting workshops on water safety for the children who she later organised into ‘Water Ambassadors’."
Bani Kohli,"Founder, Jai Jan","Bani Kohli is a 16-year-old student based in Delhi. Bani started Jai Jan in 201,a non-profit organization that helps feed the underprivileged. Jai Jan collects unutilized food from restaurants at the end of the day that cannot be reused by them and distributes it to the needy."
William Florance,"Head of Education Outreach, Emerging Markets Google Inc.","William leads Google’s Education Outreach efforts in Emerging Market countries where he and his team are responsible for empowering educators and students with the tools, skills and knowledge to enhance and extend learning. William champions open and equal access to information, the web as a learning platform and the ability for technology to help mankind reach its full potential. Before establishing the Education Outreach function, William led the Education Sales team in EMEA that launched Chromebooks for Education and supported the growth of Google Apps for Education in both schools and universities throughout these regions."
Ugesh Sarcar,Magician,"Ugesh Sarcar is India’s first and only contemporary and revered street magician. Ugesh was trained in the art of magic under the stewardship of his father – the “Living Legend” Prof. M. C. Sarcar. Thereafter, “Ugesh Sarcar’s 3rd Degree,” his first national TV appearance, became an instant hit and the highest rated show for the channel in over 3 years. There has been no looking back ever since, and his performances have won him accolades the world over"
Team Indus,,"Team Indus is a non-conformist, unconventional alliance of entrepreneurs and explorers who will not stop short of asking for the moon. Team Indus is India’s only entry to the Google Lunar XPRIZE."
Susan Peret,Comedian,"Susan Peret is a humorist, storyteller. She graduated from NYU’s Stern School of Business and previously worked as a consultant at Pricewaterhouse Coopers. She studied writing under Charles Salzberg and at Upright Citizens’ Brigade, among others. She currently produces, curates and performs at live music, art and comedy culture concept shows throughout NYC."
Sharmeen Obaid-Chinoy,Documentary Filmmaker,"Sharmeen Obaid-Chinoy is a film producer and journalist who has worked on 14 films for major networks in the United States and Britain. Her films include Children of the Taliban (with Dan Edge), The Lost Generation (about Iraqi exiles) and Afghanistan Unveiled. Her work has taken her around the world, where she has filmed and worked with refugees, women’s advocacy groups and human rights defenders. By bringing their voices to the outside world, she has often helped them bring about a critical change in their community. Obaid-Chinoy helped found the Citizens Archive of Pakistan, a nonprofit, volunteer organization that fosters and promotes community-wide interest in the culture and history of Pakistan. Citizens Archive works with thousands of children, teaching critical thinking skills and instilling a sense of pride about their history and identity"
Preeti Shroff Mehta,"DEAN, SIT Graduate School","Dr. Shroff-Mehta has over 25 years’ leadership, management, and teaching experience in the field of democratic governance, civil society strengthening, and institutional capacity development. She has taught graduate courses in citizen leadership, policy advocacy, and good governance at World Learning’s SIT Graduate Institute and at the School for International and Advanced Studies (SAIS) at Johns Hopkins. She served as the global director for civil society and governance programs at World Learning in Washington, DC and has developed and managed projects in Africa, Asia, the Middle East, Europe, and North America."
